"skills","demand_count"
"sql","7291"
"excel","4611"
"python","4330"
"tableau","3745"
"power bi","2609"
"r","2142"
"sas","1866"
"looker","868"
"azure","821"
"powerpoint","819"
"go","815"
"aws","769"
"word","720"
"oracle","619"
"snowflake","608"
"sql server","600"
"flow","500"
"sheets","496"
"sap","491"
"jira","396"
"javascript","389"
"bigquery","374"
"spark","361"
"vba","333"
"spss","318"
"qlik","316"
"pandas","291"
"hadoop","286"
"java","281"
"databricks","277"
"gcp","271"
"git","270"
"redshift","266"
"dax","263"
"alteryx","258"
"sharepoint","246"
"ssis","244"
"ssrs","241"
"mysql","240"
"airflow","228"
"outlook","221"
"c","200"
"spreadsheet","191"
"nosql","187"
"mongodb","182"
"confluence","182"
"numpy","171"
"postgresql","165"
"gdpr","146"
"visio","141"
"github","138"
"windows","135"
"matplotlib","133"
"html","128"
"t-sql","123"
"linux","115"
"c#","112"
"cognos","111"
"pyspark","111"
"scala","110"
"microstrategy","106"
"slack","104"
"express","101"
"ms access","94"
"matlab","84"
"jupyter","83"
"crystal","82"
"c++","81"
"kafka","81"
"shell","79"
"zoom","76"
"ruby","74"
"docker","72"
"css","72"
"unix","66"
"php","64"
"powershell","62"
"db2","58"
"gitlab","57"
"scikit-learn","54"
"plotly","53"
"bash","51"
"firebase","50"
"splunk","48"
"spring","48"
"tensorflow","47"
"seaborn","47"
"kubernetes","46"
"atlassian","43"
"jenkins","39"
"bitbucket","38"
"visual basic","36"
"smartsheet","35"
"react","35"
"perl","34"
"phoenix","34"
"elasticsearch","33"
"planner","32"
"swift","32"
"microsoft teams","32"
